item_code,description,unit,qty_contract,unit_price_contract,total_contract,weight_contract_pct,qty_cco,unit_price_cco,total_cco,weight_cco_pct,qty_diff,total_diff
7.2 (2b),Pemasangan Unit Pracetak Gelagar Tipe I Bentang 25 meter,,0.00,5.00,80817635.52,404088177.6000,5.00,80817635.52,404088177.60,1.6900,5.00,323270542.08
7.2.(10),Beton Pratekan untuk Diafragma fc 45 MPa termasuk Pekerjaan pasca-tarik (post-tension),,0.00,6.10,2967630.11,18102543.6700,5.97,2967630.11,17716751.76,0.0700,5.97,14749121.65
7.2.(12a),Penyediaan Panel Full Depth slab,,0.00,100.00,750000.00,75000000.0000,100.00,750000.00,75000000.00,0.3100,100.00,74250000.00
7.2.(12b),Pemasangan Panel Full Depth slab,,0.00,100.00,187500.00,18750000.0000,100.00,187500.00,18750000.00,0.0800,100.00,18562500.00
7.3 (1),Baja Tulangan Polos-BjTP 280,,0.00,9963.17,17035.92,169731767.0700,3685.36,17035.92,62783422.96,0.2600,3685.36,62766387.04
7.3 (4),Baja Tulangan Sirip BjTS 420 B,,0.00,104436.12,17232.49,1799694393.5400,99394.48,17232.49,1712814364.40,7.1600,99394.48,1712797131.91
7.4 (3),Penyediaan Struktur Jembatan Rangka Baja Standar 40 m,,0.00,124000.00,29530.41,3661770840.0000,98522.00,29530.41,2909395054.02,12.1600,98522.00,2909365523.61
7.4 (4),Pemasangan Jembatan Rangka Baja Standar Panjang 40 M,,0.00,124000.00,2421.11,300217640.0000,98522.00,2421.11,238532599.42,1.0000,98522.00,238530178.31
7.6.(12b),Penyediaan Tiang Pancang Baja Diameter 600 mm tebal 12 mm,,0.00,936.00,3113407.25,2914149186.0000,1224.00,3113407.25,3810810474.00,15.9200,1224.00,3807697066.75
7.6.(18b),Pemancangan Tiang Pancang Baja Diameter 600 mm,,0.00,936.00,426143.31,398870138.1600,1224.00,426143.31,521599411.44,2.1800,1224.00,521173268.13
7.6 (27b),Pengujian Pembebanan Dinamis Jenis PDLT (Pile Dynamic Load Testing) pada Tiang ukuran / diameter 600 mm,,0.00,12.00,12000000.00,144000000.0000,12.00,12000000.00,144000000.00,0.6000,12.00,132000000.00
7.9.(1),Pasangan Batu,,0.00,2914.97,954695.19,2782907837.9900,2247.54,954695.19,2145711322.60,8.9700,2247.54,2144756627.41
7.10.(3a),Bronjong dengan kawat yang dilapisi Galvanis,,0.00,800.00,885097.50,708078000.0000,3271.53,885097.50,2895621727.66,12.1000,3271.53,2894736630.16
7.11.(1a),"Sambungan Siar Muai Tipe Asphaltic Plug, Fixed",,0.00,32.00,1777066.25,56866120.0000,56866120.00,0.24,828.00,413.3700,56866120.00,-1776238.25
7.12.(3),Landasan Elastomerik Karet Sintetis Berlapis Baja Ukuran 350 Mm x 500 Mm x 40 Mm,,0.00,10.00,966525.00,9665250.0000,9665250.00,0.04,828.00,372.0000,9665250.00,-965697.00
7.14.(1),Papan Nama Jembatan,,0.00,4.00,1620223.21,6480892.8400,4.00,1620223.21,6480892.84,0.0300,4.00,4860669.63
7.16.(1),Deck drain,,0.00,30.00,750000.00,22500000.0000,28.00,750000.00,21000000.00,0.0900,28.00,20250000.00
7.16.(2a),Pipa Drainase Baja diameter 150 mm,,0.00,42.00,250000.00,10500000.0000,45.00,250000.00,11250000.00,0.0500,45.00,11000000.00
9.2.(1),Marka Jalan Termoplastik,,0.00,144.00,436714.54,62886893.7600,155.88,436714.54,68075062.50,0.2800,155.88,67638347.96
9.2.(3a),Rambu Jalan Tunggal dengan Permukaan Pemantul Engineering Grade,,0.00,8.00,1428315.79,11426526.3200,8.00,1428315.79,11426526.32,0.0500,8.00,9998210.53
9.2.(5),Patok Pengarah,,0.00,240.00,202281.23,48547495.2000,156.00,202281.23,31555871.88,0.1300,156.00,31353590.65
9.2.(7),Rel Pengaman,,0.00,500.00,1077214.80,538607400.0000,410.00,1077214.80,441658068.00,1.8500,410.00,440580853.20
9.2.(14),"Unit Lampu Penerangan Jalan Lengan Tunggal, Tipe LED",,0.00,8.00,32365954.79,258927638.3200,8.00,32365954.79,258927638.32,1.0800,8.00,226561683.53
B,Pajak Pertambahan Nilai (PPN 10%xA),,1.00,0.00,0.00,2393399278.9100,1.00,337589474.62,2367749348.91,11.9500,0.00,2367749348.91
